iter	Passed	Remaining
0	76	16882
1	152	16647
2	230	16751
3	311	16898
4	390	16848
5	464	16655
6	538	16477
7	615	16395
8	697	16420
9	772	16306
10	851	16264
11	925	16117
12	1016	16259
13	1110	16424
14	1196	16438
15	1285	16476
16	1367	16407
17	1446	16315
18	1523	16201
19	1602	16104
20	1692	16123
21	1780	16104
22	1860	16019
23	1935	15885
24	2014	15794
25	2091	15684
26	2174	15626
27	2263	15603
28	2344	15522
29	2426	15448
30	2508	15373
31	2595	15328
32	2685	15297
33	2774	15259
34	2855	15173
35	2940	15110
36	3023	15038
37	3104	14950
38	3108	14506
39	3186	14420
40	3264	14332
41	3345	14256
42	3427	14188
43	3503	14095
44	3582	14013
45	3662	13932
46	3739	13845
47	3817	13757
48	3895	13673
49	3980	13612
50	4070	13567
51	4163	13532
52	4240	13442
53	4315	13347
54	4392	13257
55	4473	13179
56	4550	13093
57	4631	13015
58	4708	12927
59	4790	12854
60	4869	12772
61	5022	12879
62	5117	12834
63	5200	12758
64	5279	12669
65	5358	12585
66	5436	12494
67	5514	12407
68	5594	12323
69	5674	12240
70	5751	12151
71	5825	12055
72	5904	11971
73	5984	11887
74	6061	11799
75	6141	11717
76	6226	11643
77	6311	11571
78	6390	11485
79	6465	11395
80	6537	11299
81	6618	11219
82	6698	11137
83	6774	11048
84	6848	10957
85	6925	10870
86	7001	10784
87	7078	10697
88	7156	10614
89	7228	10521
90	7298	10425
91	7366	10329
92	7440	10241
93	7514	10152
94	7593	10070
95	7689	10012
96	7770	9933
97	7851	9853
98	7933	9776
99	8022	9707
100	8117	9644
101	8206	9574
102	8287	9494
103	8367	9413
104	8451	9336
105	8532	9256
106	8636	9202
107	8738	9143
108	8825	9068
109	8912	8993
110	8994	8913
111	9079	8835
112	9163	8758
113	9253	8685
114	9342	8611
115	9426	8532
116	9513	8456
117	9602	8382
118	9686	8302
119	9776	8228
120	9866	8153
121	9955	8078
122	10048	8005
123	10154	7943
124	10244	7868
125	10327	7786
126	10416	7709
127	10503	7631
128	10583	7548
129	10661	7463
130	10748	7384
131	10836	7306
132	10918	7224
133	10942	7104
134	11023	7022
135	11104	6940
136	11194	6863
137	11280	6784
138	11362	6703
139	11446	6622
140	11528	6541
141	11619	6464
142	11714	6389
143	11799	6309
144	11897	6235
145	11989	6158
146	12082	6082
147	12177	6006
148	12277	5932
149	12372	5856
150	12464	5778
151	12557	5700
152	12647	5620
153	12738	5541
154	12825	5461
155	12919	5382
156	13022	5308
157	13200	5263
158	13316	5192
159	13462	5132
160	13609	5071
161	13742	5004
162	13862	4932
163	13980	4858
164	14084	4780
165	14181	4698
166	14281	4618
167	14383	4537
168	14474	4453
169	14568	4370
170	14676	4291
171	14769	4207
172	14859	4122
173	14951	4038
174	15040	3953
175	15139	3870
176	15229	3785
177	15309	3698
178	15397	3612
179	15487	3527
180	15575	3442
181	15656	3354
182	15742	3268
183	15831	3183
184	15920	3097
185	16002	3011
186	16094	2926
187	16224	2847
188	16351	2768
189	16437	2681
190	16520	2594
191	16612	2509
192	16706	2423
193	16789	2336
194	16880	2250
195	16975	2165
196	17081	2080
197	17174	1995
198	17268	1909
199	17355	1822
200	17452	1736
201	17544	1650
202	17636	1563
203	17729	1477
204	17815	1390
205	17912	1304
206	18005	1217
207	18097	1131
208	18183	1044
209	18270	957
210	18359	870
211	18460	783
212	18557	697
213	18641	609
214	18722	522
215	18801	435
216	18889	348
217	18984	261
218	19089	174
219	19195	87
220	19296	0
